barcode,name,price
1N666310-9M,"OSITO-PIJAMA ALGODÓN BROCHES ""MARIPOSA""",  23780 
1N666410-9M,"OSITO-PIJAMA ALGODÓN BROCHES ""ELEFANTE Y TORTUGA""",  23780 
1N666510-3M,"OSITO-PIJAMA ALGODÓN BROCHES ""PERA""",  23780 
1N666510-6M,"OSITO-PIJAMA ALGODÓN BROCHES ""PERA""",  23780 
1N666510-9M,"OSITO-PIJAMA ALGODÓN BROCHES ""PERA""",  23780 
1N668110-9M,"OSITO-PIJAMA ALGODÓN BROCHES ""SAFARI""",  23780 
1N670810-3M,"OSITO-PIJAMA ALGODÓN CIERRE ""RAYAS""",  23780 
1N670810-6M,"OSITO-PIJAMA ALGODÓN CIERRE ""RAYAS""",  23780 
1N670810-9M,"OSITO-PIJAMA ALGODÓN CIERRE ""RAYAS""",  23780 
1N670810-NB,"OSITO-PIJAMA ALGODÓN CIERRE ""RAYAS""",  23780 
1N671010-9M,"OSITO-PIJAMA ALGODÓN BROCHES ""ELEFANTES""",  23780 
1N671310-9M,"OSITO-PIJAMA ALGODÓN BROCHES ""BALLENA""",  23780 
1N671510-3M,"OSITO-PIJAMA ALGODÓN BROCHES ""MANZANAS""",  23780 
1N671510-6M,"OSITO-PIJAMA ALGODÓN BROCHES ""MANZANAS""",  23780 
1N671510-9M,"OSITO-PIJAMA ALGODÓN BROCHES ""MANZANAS""",  23780 
1N671610-3M,"OSITO-PIJAMA ALGODÓN BROCHES ""FLORAL""",  23780 
1N671610-6M,"OSITO-PIJAMA ALGODÓN BROCHES ""FLORAL""",  23780 
1N671610-9M,"OSITO-PIJAMA ALGODÓN BROCHES ""FLORAL""",  23780 
1N671610-NB,"OSITO-PIJAMA ALGODÓN BROCHES ""FLORAL""",  23780 
1N674210-0-3M,PACK 3 MITONES,  16384 
1N674610-3M,"SET  2 PIEZAS OSITO-PIJAMA Y GORRO ""AUTITOS""",  26604 
1N674610-NB,"SET  2 PIEZAS OSITO-PIJAMA Y GORRO ""AUTITOS""",  26604 
1N674610-PRE,"SET  2 PIEZAS OSITO-PIJAMA Y GORRO ""AUTITOS""",  26604 
1N675410-0-3M,"PACK 2 GORROS ""AZUL Y VERDE""",  21366 
1N676410-12M,"PACK 3 BODIES MANGAS LARGAS BROCHES LATERALES ""SAFARI""",  39958 
1N676410-18M,"PACK 3 BODIES MANGAS LARGAS BROCHES LATERALES ""SAFARI""",  39958 
1N676410-24M,"PACK 3 BODIES MANGAS LARGAS BROCHES LATERALES ""SAFARI""",  39958 
1N676410-9M,"PACK 3 BODIES MANGAS LARGAS BROCHES LATERALES ""SAFARI""",  39958 
1N677210-0-3M,PACK 3 MITONES,  16384 
1N680110-0-3M,PACK 3 MITONES,  16384 
